id,rootname,filter,expstart,targname
362753,iepl28beq,F606W,59669.39063,ABELL-S295
362755,iepl28bgq,F606W,59669.39453,ABELL-S295
362734,ieog02d0q,F814W,59669.86328,BST1047+1156
362731,ieog02d2q,F814W,59669.87891,BST1047+1156
362732,ieog02d5q,F814W,59669.92578,BST1047+1156
362733,ieog02d9q,F814W,59669.94531,BST1047+1156
362822,iem701liq,F814W,59671.30469,M81-GC
362819,iem701ljq,F606W,59671.30859,M81-GC
362820,iem701lnq,F814W,59671.32422,M81-GC
362828,iem701lpq,F606W,59671.33203,M81-GC
362780,ieou18fgq,F814W,59670.17969,MACSJ0417
362781,ieou18fkq,F814W,59670.19531,MACSJ0417
364164,ieog09njq,F814W,59689.51563,BST1047+1156
364162,ieog09nlq,F814W,59689.53125,BST1047+1156
364591,iepl77zgq,F606W,59699.44531,PLCK-G287+32
364592,iepl77ziq,F606W,59699.45313,PLCK-G287+32
364593,iepl77zkq,F606W,59699.45703,PLCK-G287+32
364556,ietp02w9q,F814W,59698.85938,SN2021GNO
364548,ietp02wcq,F814W,59698.91406,SN2021GNO
364547,ietp02wdq,F555W,59698.92188,SN2021GNO
